,ret_asx
307,-1.1381298527474826
308,-1.3735395154352403
309,0.6275390893286215
310,0.1673050563876899
311,0.2897701338611114
312,-0.05348628715804438
313,-0.9707417420742104
314,1.4948761805008814
315,-0.07202395136314266
316,0.06263113502633644
317,0.8168640225292734
318,0.393571677063953
319,-0.5427295576291513
320,0.39725848852292245
321,0.9586885339123441
322,0.5262832900649883
323,-0.5539023466704762
324,0.5966148520871073
325,1.3934552587864246
326,-0.6246516478386255
327,-0.0878212773049114
328,0.012115315630190082
329,0.3326783651957044
330,-0.5479993103071124
331,1.0719834826344865
332,-0.021025553531828223
333,0.057067455198378525
334,0.58078485740225
335,-0.28398494535792906
336,0.4271674299429762
337,-0.47507885043742704
338,0.21541355562462172
339,1.2001421938125034
340,0.07379529520932238
341,-0.20085217282623802
342,0.23625314028699052
343,-0.2983578551903676
344,0.8806967547807076
345,-0.1731675124677423
346,0.9123656148160464
347,0.03492392606148087
348,-0.28558268907818984
349,-0.3127408762418682
350,0.29523406113316497
351,-0.17527975709086263
352,-0.2634970415147819
353,-0.3318227827007192
354,-0.6107189975669058
355,0.3662870655075423
356,1.0325383284744305
357,-0.1314079841060689
358,0.03214075423922935
359,0.3877626556965552
360,-0.06404294535595767
361,-0.9537491842010581
362,-0.3592768510703337
363,0.6557343113357206
364,0.11131435063678197
365,-0.9028529396251983
366,0.011813256232429126
367,0.8090302218596079
368,-0.061545894366155096
369,0.5117643533285587
370,-0.28041781647569763
371,0.4523640109344029
372,-0.713033481043901
373,0.31330863499849926
374,2.0200967176132067
375,-1.498148789059428
376,0.3368012538814469
377,-0.5901451484280784
378,-1.524815510170363
379,-0.7100805764062912
380,-0.3554388520019103
381,0.43889037799793584
382,0.6325484432426975
383,0.4312799478952911
384,0.11488717846592778
385,0.7245862803047842
386,-0.5422132677500358
387,-0.2589545930424819
388,0.014731229182274319
389,-0.40442119350885264
390,-0.22802181215642037
391,-0.6066362735960951
392,-1.001241801784225
393,-1.0844334189846094
394,0.2615841678959896
395,0.7444908427725494
396,0.2379095617824234
397,1.492787834095033
398,0.8733450969424794
399,0.03817621567776541
400,0.038168813489569686
401,0.008807221640694252
402,-0.1292264712450475
403,0.41645808693431263
404,-0.4546728994963445
405,-0.5128864219921425
406,-0.35525068732731313
407,-0.22564225513583835
408,-1.066810768718085
409,0.05405630669255146
410,-1.205285866191197
411,0.8624003823799242
412,-0.24132741727278528
413,0.2925330808276172
414,0.8187563253843066
415,0.6341869519802756
416,0.08307025034266502
417,-0.6814227881358548
418,-0.7582733844317957
419,-1.4637674697645764
420,-0.10079717264162014
421,0.4299594536115947
422,0.05780177198637659
423,-0.7325369155537942
424,-0.9232823273148227
425,0.25629709224688213
426,-0.01850839369978985
427,-4.205012858622936
428,0.5741856903066278
429,-0.8221993169065911
430,-4.805997339142554
431,1.8373148173318476
432,0.8205109618577566
433,-1.7248937329114256
434,-1.3873907608679126
435,-0.5897845336972019
436,1.2943245663123548
437,0.9506781397726982
438,0.3237798863398922
439,1.613206424316438
440,1.6069535543699942
441,1.3430381788383627
442,-0.46593662262264246
443,0.15022781051374778
444,1.5277696619600434
445,-1.2407247407402622
446,0.4163459385358337
447,-0.5087451354382821
448,1.9633834079325396
449,0.8063224511145606
450,-0.8125726831631042
451,0.36507057289441036
452,0.8435974660580214
453,-1.1899108842984063
454,-0.7592254606647586
455,1.1864883744914678
456,1.012500744021061
457,0.26766214196349836
458,0.6584108772468511
459,-0.6123342964658107
460,-0.10446774167931494
461,-0.09842370072927764
462,-0.024622947621999458
